image_id,filename,true_class,predicted_class,top1_score,top1_similarity,top1_correct,top3_correct,second_class,second_score,second_similarity,third_class,third_score,third_similarity
IMG001,gate_sign_001.jpg,gate_sign,gate_sign,0.6946014761924744,0.30532482266426086,True,True,information,0.21821530163288116,0.2937462627887726,check_in,0.05748327448964119,0.2804063856601715
IMG002,gate_sign_002.jpg,gate_sign,gate_sign,0.2797587811946869,0.2661411762237549,True,True,accessibility,0.21676050126552582,0.2635898292064667,transport,0.2047637552022934,0.26302045583724976
IMG003,gate_sign_003.jpg,gate_sign,gate_sign,0.9650591611862183,0.3446007966995239,True,True,accessibility,0.016661610454320908,0.30400997400283813,information,0.0075892177410423756,0.2961461842060089
IMG004,gate_sign_004.jpg,gate_sign,accessibility,0.4887453317642212,0.29746365547180176,False,True,gate_sign,0.18780125677585602,0.28789907693862915,lounge,0.13088129460811615,0.2842881381511688
IMG005,gate_sign_005.jpg,gate_sign,gate_sign,0.9781197309494019,0.3389143943786621,True,True,transport,0.008371559903025627,0.2913064956665039,accessibility,0.007922829128801823,0.29075556993484497
IMG010,gate_sign_010.jpg,gate_sign,accessibility,0.3847513496875763,0.3282623291015625,False,True,gate_sign,0.20731088519096375,0.32207855582237244,check_in,0.13570234179496765,0.3178409934043884
IMG011,gate_sign_011.jpg,gate_sign,restaurant,0.5640354156494141,0.3143155872821808,False,False,family_facility,0.11585328727960587,0.29848766326904297,accessibility,0.08473695814609528,0.29535993933677673
IMG012,gate_sign_012.jpg,gate_sign,lounge,0.6559379696846008,0.287554532289505,False,False,family_facility,0.23847158253192902,0.27743637561798096,restaurant,0.07779073715209961,0.2662340998649597
IMG013,gate_sign_013.jpg,gate_sign,lounge,0.49319297075271606,0.31796759366989136,False,False,restaurant,0.12277503311634064,0.3040621280670166,family_facility,0.12148592621088028,0.3039565682411194
IMG014,gate_sign_014.jpg,gate_sign,lounge,0.8560786247253418,0.2942121624946594,False,False,accessibility,0.0686349868774414,0.2689765691757202,restaurant,0.03583697974681854,0.2624783515930176
IMG015,gate_sign_015.jpg,gate_sign,family_facility,0.3744930326938629,0.2917468547821045,False,False,lounge,0.24375557899475098,0.2874527871608734,accessibility,0.20533756911754608,0.28573769330978394
IMG017,gate_sign_017.jpg,gate_sign,lounge,0.8408477902412415,0.3286210596561432,False,False,family_facility,0.06642850488424301,0.3032382130622864,restaurant,0.044472359120845795,0.2992256283760071
IMG018,gate_sign_018.jpg,gate_sign,gate_sign,0.28587010502815247,0.29964661598205566,True,True,security,0.18584437668323517,0.29534032940864563,check_in,0.13885582983493805,0.29242560267448425
IMG019,gate_sign_019.jpg,gate_sign,gate_sign,0.5154061913490295,0.31172460317611694,True,True,information,0.3713762164115906,0.3084472119808197,accessibility,0.03888091817498207,0.28588008880615234
IMG021,baggage_claim_001.jpg,baggage_claim,baggage_claim,0.778893768787384,0.3334844708442688,True,True,check_in,0.1038094162940979,0.31333127617836,accessibility,0.03535725548863411,0.3025607466697693
IMG022,baggage_claim_002.jpg,baggage_claim,security,0.3460855782032013,0.3386595547199249,False,True,check_in,0.33564627170562744,0.3383532762527466,baggage_claim,0.22958694398403168,0.3345555067062378
IMG023,baggage_claim_003.jpg,baggage_claim,security,0.7671883702278137,0.30669426918029785,False,True,check_in,0.1335953027009964,0.289215087890625,baggage_claim,0.07295092940330505,0.2831647992134094
IMG024,baggage_claim_004.jpg,baggage_claim,baggage_claim,0.9313383102416992,0.34872329235076904,True,True,security,0.03919079899787903,0.3170414865016937,check_in,0.021516812965273857,0.31104540824890137
IMG027,baggage_claim_007.jpg,baggage_claim,baggage_claim,0.6455574631690979,0.3073866665363312,True,True,accessibility,0.15353818237781525,0.29302501678466797,check_in,0.07953811436891556,0.2864478826522827
IMG028,baggage_claim_008.jpg,baggage_claim,baggage_claim,0.5954198837280273,0.31705424189567566,True,True,check_in,0.11759740859270096,0.3008342385292053,lounge,0.0773686096072197,0.2966473698616028
IMG030,baggage_claim_010.jpg,baggage_claim,information,0.25571006536483765,0.3075751066207886,False,False,check_in,0.1872960478067398,0.3044615685939789,accessibility,0.17884360253810883,0.30399978160858154
IMG032,baggage_claim_012.jpg,baggage_claim,baggage_claim,0.8325463533401489,0.34331586956977844,True,True,security,0.0751619040966034,0.3192674517631531,accessibility,0.03746463358402252,0.3123049736022949
IMG033,baggage_claim_013.jpg,baggage_claim,security,0.25653326511383057,0.3114793300628662,False,True,accessibility,0.16008156538009644,0.30676358938217163,baggage_claim,0.15109258890151978,0.30618569254875183
IMG034,baggage_claim_014.jpg,baggage_claim,baggage_claim,0.8882815837860107,0.3684469163417816,True,True,security,0.06934452801942825,0.3429449200630188,check_in,0.03178495541214943,0.3351439833641052
IMG036,baggage_claim_016.jpg,baggage_claim,baggage_claim,0.38102489709854126,0.3198200464248657,True,True,restaurant,0.1999204307794571,0.31337058544158936,transport,0.12874466180801392,0.3089697062969208
IMG037,baggage_claim_017.jpg,baggage_claim,baggage_claim,0.5487980842590332,0.32485711574554443,True,True,check_in,0.12779927253723145,0.31028440594673157,accessibility,0.09058022499084473,0.3068421483039856
IMG038,baggage_claim_018.jpg,baggage_claim,accessibility,0.30190184712409973,0.3098088502883911,False,True,baggage_claim,0.30067840218544006,0.3097682297229767,security,0.25174182653427124,0.3079918622970581
IMG039,baggage_claim_019.jpg,baggage_claim,baggage_claim,0.5687190890312195,0.2876529395580292,True,True,security,0.20650389790534973,0.2775222659111023,accessibility,0.15173211693763733,0.2744402289390564
IMG041,security_001.jpg,security,security,0.589424192905426,0.3025536835193634,True,True,check_in,0.1784881204366684,0.2906074523925781,restaurant,0.1556798219680786,0.2892402410507202
IMG045,security_005.jpg,security,restaurant,0.7124314308166504,0.32665616273880005,False,False,information,0.11603400111198425,0.30850815773010254,check_in,0.09902375191450119,0.30692291259765625
IMG046,security_006.jpg,security,information,0.36918824911117554,0.31162774562835693,False,False,accessibility,0.22002512216567993,0.30645209550857544,check_in,0.15820272266864777,0.30315345525741577
IMG047,security_007.jpg,security,restaurant,0.4484715759754181,0.3011142611503601,False,False,check_in,0.20337368547916412,0.29320624470710754,accessibility,0.1349046677350998,0.2891014814376831
