score_threshold,margin_threshold,accepted,rejected,coverage,abstention_rate,selective_accuracy,accepted_errors
0.4,0.05,23,7,0.7666666666666667,0.23333333333333334,0.6956521739130435,7
0.4,0.1,21,9,0.7,0.3,0.7142857142857143,6
0.4,0.15,21,9,0.7,0.3,0.7142857142857143,6
0.4,0.2,20,10,0.6666666666666666,0.3333333333333333,0.75,5
0.4,0.25,20,10,0.6666666666666666,0.3333333333333333,0.75,5
0.4,0.3,18,12,0.6,0.4,0.7777777777777778,4
0.4,0.35,18,12,0.6,0.4,0.7777777777777778,4
0.4,0.4,17,13,0.5666666666666667,0.43333333333333335,0.7647058823529411,4
0.4,0.45,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.4,0.5,12,18,0.4,0.6,0.9166666666666666,1
0.45,0.05,22,8,0.7333333333333333,0.26666666666666666,0.7272727272727273,6
0.45,0.1,21,9,0.7,0.3,0.7142857142857143,6
0.45,0.15,21,9,0.7,0.3,0.7142857142857143,6
0.45,0.2,20,10,0.6666666666666666,0.3333333333333333,0.75,5
0.45,0.25,20,10,0.6666666666666666,0.3333333333333333,0.75,5
0.45,0.3,18,12,0.6,0.4,0.7777777777777778,4
0.45,0.35,18,12,0.6,0.4,0.7777777777777778,4
0.45,0.4,17,13,0.5666666666666667,0.43333333333333335,0.7647058823529411,4
0.45,0.45,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.45,0.5,12,18,0.4,0.6,0.9166666666666666,1
0.5,0.05,20,10,0.6666666666666666,0.3333333333333333,0.75,5
0.5,0.1,20,10,0.6666666666666666,0.3333333333333333,0.75,5
0.5,0.15,20,10,0.6666666666666666,0.3333333333333333,0.75,5
0.5,0.2,19,11,0.6333333333333333,0.36666666666666664,0.7894736842105263,4
0.5,0.25,19,11,0.6333333333333333,0.36666666666666664,0.7894736842105263,4
0.5,0.3,18,12,0.6,0.4,0.7777777777777778,4
0.5,0.35,18,12,0.6,0.4,0.7777777777777778,4
0.5,0.4,17,13,0.5666666666666667,0.43333333333333335,0.7647058823529411,4
0.5,0.45,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.5,0.5,12,18,0.4,0.6,0.9166666666666666,1
0.55,0.05,19,11,0.6333333333333333,0.36666666666666664,0.7368421052631579,5
0.55,0.1,19,11,0.6333333333333333,0.36666666666666664,0.7368421052631579,5
0.55,0.15,19,11,0.6333333333333333,0.36666666666666664,0.7368421052631579,5
0.55,0.2,18,12,0.6,0.4,0.7777777777777778,4
0.55,0.25,18,12,0.6,0.4,0.7777777777777778,4
0.55,0.3,17,13,0.5666666666666667,0.43333333333333335,0.7647058823529411,4
0.55,0.35,17,13,0.5666666666666667,0.43333333333333335,0.7647058823529411,4
0.55,0.4,17,13,0.5666666666666667,0.43333333333333335,0.7647058823529411,4
0.55,0.45,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.55,0.5,12,18,0.4,0.6,0.9166666666666666,1
0.6,0.05,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.6,0.1,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.6,0.15,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.6,0.2,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.6,0.25,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.6,0.3,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.6,0.35,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.6,0.4,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.6,0.45,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.6,0.5,12,18,0.4,0.6,0.9166666666666666,1
0.65,0.05,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.65,0.1,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.65,0.15,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.65,0.2,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.65,0.25,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.65,0.3,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.65,0.35,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.65,0.4,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.65,0.45,13,17,0.43333333333333335,0.5666666666666667,0.9230769230769231,1
0.65,0.5,12,18,0.4,0.6,0.9166666666666666,1
0.7,0.05,12,18,0.4,0.6,1.0,0
0.7,0.1,12,18,0.4,0.6,1.0,0
0.7,0.15,12,18,0.4,0.6,1.0,0
0.7,0.2,12,18,0.4,0.6,1.0,0
0.7,0.25,12,18,0.4,0.6,1.0,0
0.7,0.3,12,18,0.4,0.6,1.0,0
0.7,0.35,12,18,0.4,0.6,1.0,0
0.7,0.4,12,18,0.4,0.6,1.0,0
0.7,0.45,12,18,0.4,0.6,1.0,0
0.7,0.5,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.75,0.05,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.75,0.1,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.75,0.15,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.75,0.2,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.75,0.25,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.75,0.3,11,19,0.36666666666666664,0.6333333333333333,1.0,0
